regionid,urban,gend,age,nation,edu,income_quintile,fin,emp,marital,A1,A7,politics,polid,group,LEP_accountability,LEP_bribesreq,LEP_bribesacc,ROL_abusepower_imp,CPB_freemedia,CPB_freexp_cso,CPB_freexp_pp,CPB_freexp,CPB_freeassem,PAB_blamesoc,PAB_attackopp,ROL_courtrulings_imp,ROL_indgovtbodies_imp,ROL_csoinput_imp
x001,1,1,65,1,4,3,4,6,3,2,1,2,5,BA,2,2,1,1,1,2,2,1,2,2,1,1,2,2
x001,1,1,43,1,5,3,4,1,1,1,1,1,3,BA,2,2,2,2,2,2,1,1,1,2,2,2,2,2
x001,1,1,76,1,7,3,5,6,3,2,0,1,6,BA,2,2,1,2,1,1,1,1,1,2,1,2,2,2
x001,1,1,79,1,7,5,3,6,3,1,0,1,7,BA,2,2,2,2,2,2,2,1,2,2,3,2,2,2
x001,1,1,53,1,7,2,4,1,2,4,2,4,10,BA,2,3,3,2,3,2,2,2,2,3,2,2,2,2
x001,1,1,23,1,4,NA,4,4,1,2,1,2,4,BA,NA,2,2,1,3,2,2,1,2,NA,2,1,NA,1
x001,1,2,73,1,7,1,3,6,4,1,0,2,9,BA,NA,NA,3,1,4,4,4,NA,3,1,1,NA,NA,1
x001,2,2,32,1,7,5,5,5,3,4,1,3,4,BA,2,3,2,2,2,3,2,3,2,3,3,1,1,1
x001,1,2,48,1,6,3,2,1,3,2,1,3,6,BA,2,2,2,2,2,2,2,2,2,2,2,2,3,3
x001,1,1,30,1,3,5,1,1,1,5,0,3,7,BA,2,2,2,1,3,2,2,3,2,2,2,2,3,2
x001,1,1,61,1,3,1,1,3,4,1,0,1,2,BA,4,4,4,1,3,3,1,3,3,2,2,1,1,2
x001,1,1,59,1,6,5,4,5,3,2,0,1,3,BA,3,NA,NA,1,1,1,2,1,1,2,2,2,1,2
x001,1,1,55,1,4,4,4,1,1,1,1,1,4,BA,1,2,1,2,2,2,2,2,2,2,2,2,1,2
x001,1,2,42,1,5,2,4,3,NA,4,1,2,NA,BA,1,1,1,1,NA,1,1,1,1,2,2,2,1,2
x001,1,1,63,1,4,2,4,6,5,1,0,1,3,BA,2,2,2,NA,NA,NA,NA,2,2,2,2,1,1,NA
x001,2,2,29,1,5,5,4,1,3,3,2,3,2,BA,3,2,2,2,NA,4,3,3,1,2,2,1,1,1
x001,1,1,45,1,4,5,4,1,3,4,2,2,8,BA,NA,NA,NA,3,2,2,2,2,2,NA,NA,NA,NA,NA
x001,2,1,45,1,4,4,5,1,2,2,2,3,6,BA,2,2,2,1,NA,NA,NA,2,2,2,4,2,3,2
x001,1,1,45,1,3,5,5,2,3,2,2,2,9,BA,1,1,2,1,3,3,2,2,3,1,1,2,3,2
x001,1,1,31,1,7,5,5,1,2,3,1,2,2,BA,4,3,4,1,1,3,1,3,1,2,2,1,1,1
x001,1,2,59,1,7,2,4,5,3,1,NA,3,6,BA,2,2,2,1,3,2,2,2,1,1,1,1,1,2
x001,2,1,46,1,6,4,3,1,2,2,2,1,2,BA,4,3,3,1,3,2,2,2,2,2,2,1,1,2
x001,1,1,44,1,7,5,5,1,3,2,2,1,7,BA,2,2,2,1,2,2,1,2,1,2,3,2,2,NA
x001,1,1,47,1,4,1,4,1,1,1,1,3,3,BA,1,1,1,1,1,1,1,1,1,2,3,1,2,2
x001,1,1,81,1,6,4,5,6,3,2,0,1,8,BA,2,1,1,1,1,1,1,1,1,3,2,2,1,2
x001,1,1,32,1,7,2,4,1,1,1,1,3,5,BA,2,NA,NA,1,1,1,1,1,1,NA,1,1,1,2
x001,1,1,27,1,5,3,4,1,1,2,1,3,7,BA,1,1,1,2,2,1,1,2,1,2,1,2,2,3
x001,2,1,57,1,6,2,3,1,4,1,0,3,10,BA,NA,NA,NA,NA,2,NA,NA,3,NA,3,3,3,2,2
x001,2,1,52,1,3,2,4,1,1,2,2,1,3,BA,1,1,1,1,1,1,1,1,1,2,3,2,2,2
x001,2,2,20,1,5,4,5,8,1,4,2,1,7,BA,1,4,1,2,1,2,2,1,3,1,2,2,1,3
x001,1,2,31,2,4,4,4,8,3,5,2,3,NA,BA,2,2,4,1,3,3,3,3,2,3,3,1,1,1
x001,1,1,45,1,4,4,3,1,3,4,4,2,6,BA,2,3,2,3,2,3,3,3,2,4,2,NA,3,NA
x001,2,2,48,1,4,3,4,1,2,4,3,4,5,BA,2,2,3,3,3,2,2,2,1,NA,2,1,NA,NA
x001,1,2,53,1,4,3,5,1,4,1,1,3,3,BA,2,2,2,2,2,2,2,2,2,2,2,2,NA,2
x001,1,1,25,1,7,4,3,1,3,3,2,2,5,BA,2,2,2,2,3,3,3,3,3,2,4,1,1,2
x001,1,2,20,1,4,5,2,4,1,5,2,3,NA,BA,3,3,NA,1,NA,3,3,2,4,NA,2,1,2,2
x001,2,1,44,1,4,4,2,1,3,5,2,3,3,BA,2,2,2,3,3,2,2,2,2,1,2,2,3,1
x001,1,1,32,1,6,5,5,1,NA,2,2,1,NA,BA,3,2,2,1,2,2,2,1,1,2,3,2,3,3
x001,2,2,41,1,5,NA,4,1,3,4,2,1,4,BA,2,NA,NA,1,2,1,1,2,2,2,2,2,2,1
x001,1,2,22,1,5,2,5,1,1,1,1,3,4,BA,3,2,3,2,2,2,2,2,2,2,3,2,2,3
