address,phone,email,website
1010 Wien--Stubenring 18,Yes,Yes,No
5020 Salzburg--Mildenburggasse 1/2,Yes,Yes,No
1010 Wien--Stubenring 18,Yes,Yes,Yes
1010 Wien--Stubenring 18,Yes,Yes,No
6900 Bregenz--Rathausstraße 37,Yes,Yes,Yes
1010 Wien--Spiegelgasse 19,Yes,Yes,No
"1220 Wien--ARES Tower, Donau-City-Straße 11",Yes,Yes,Yes
1030 Wien--Riesgasse 3/14,Yes,Yes,No
1010 Wien--Wollzeile 17/22,Yes,Yes,Yes
1010 Wien--Wollzeile 17/22,Yes,Yes,Yes
1010 Wien--Kohlmarkt 8-10/Eing. Wallnerstr. 1,Yes,Yes,Yes
1070 Wien--Neustiftgasse 3/7,Yes,Yes,Yes
3100 St. Pölten--Domgasse 2,Yes,Yes,No
6020 Innsbruck--Wilhelm-Greil-Straße 21/IV.,Yes,Yes,No
6800 Feldkirch--Schloßgraben 10,Yes,Yes,Yes
4020 Linz--Schillerstraße 12,Yes,Yes,No
5020 Salzburg--Erzabt-Klotz-Straße 12/2,Yes,Yes,No
1030 Wien--Am Heumarkt 10,Yes,Yes,Yes
1010 Wien--Färbergasse 10/15,Yes,Yes,Yes
1080 Wien--Mölkergasse 3/7,Yes,Yes,Yes
1010 Wien--Tuchlauben 7a(Eingang Seitzergasse 6),Yes,Yes,No
1010 Wien--Schottenring 12,Yes,Yes,Yes
1010 Wien--Himmelpfortgasse 20/2,Yes,Yes,Yes
1190 Wien--Billrothstraße 86/2,Yes,Yes,Yes
1010 Wien--Parkring 12,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
1010 Wien--Parkring 2,Yes,Yes,Yes
4020 Linz--Lessingstraße 40,Yes,Yes,No
4050 Traun--Neubauerstraße 14/1,Yes,Yes,No
6020 Innsbruck--Erlerstraße 19 / 3. Stock (Top 34),Yes,Yes,Yes
1010 Wien--Tuchlauben 11/2/13-14,Yes,Yes,Yes
1010 Wien--Rotenturmstraße 19/II/36,Yes,Yes,No
9020 Klagenfurt--Waaggasse 18/2,Yes,Yes,No
1010 Wien--Schottenring 19,Yes,Yes,Yes
1220 Wien--Lavaterstraße 7/4/24,Yes,Yes,Yes
5020 Salzburg--Sterneckstraße 35,Yes,Yes,No
5020 Salzburg--Paracelsusstraße 27,Yes,Yes,No
4810 Gmunden--Schlagenstraße 17,Yes,Yes,No
4655 Vorchdorf--Schloßplatz 15,Yes,Yes,Yes
1060 Wien--Mariahilfer Straße 47/3/5,Yes,Yes,Yes
6020 Innsbruck--Gumppstraße 53-55,Yes,Yes,No
1010 Wien--Lugeck 1-2/Stiege 2/Top 12,Yes,Yes,No
1010 Wien--Schubertring 6,Yes,Yes,Yes
4020 Linz--Weingartshofstraße 21,Yes,Yes,No
6020 Innsbruck--Maria-Theresien-Straße 57,Yes,Yes,Yes
4061 Pasching--Kramlehnerweg 1a,Yes,Yes,Yes
4873 Frankenburg--Marktplatz 1,Yes,Yes,No
1020 Wien--Taborstraße 24a,Yes,Yes,Yes
1020 Wien--Taborstraße 24a,Yes,Yes,No
4600 Wels--Dr.-Koss-Straße 2,Yes,Yes,Yes
1010 Wien--Tuchlauben 11/18,Yes,Yes,Yes
1170 Wien--Ottakringer Straße 54/Top 3.2,Yes,Yes,Yes
1070 Wien--Zieglergasse 39/15,No,Yes,No
4632 Pichl bei Wels--Fadleiten 18,Yes,Yes,Yes
6800 Feldkirch--Vorstadt 18,Yes,Yes,Yes
1060 Wien--Otto-Bauer-Gasse 4/5,Yes,Yes,Yes
1010 Wien--Parkring 2,Yes,Yes,Yes
1010 Wien--Schottenring 35/6a,Yes,Yes,Yes
1030 Wien--Marxergasse 5/24,Yes,Yes,No
3400 Klosterneuburg--Kierlinger Straße 12,Yes,Yes,No
1010 Wien--Sterngasse 13,Yes,Yes,Yes
1090 Wien--Rooseveltplatz 4-5/8,No,Yes,Yes
1030 Wien--Untere Viaduktgasse 10/12,Yes,Yes,No
1010 Wien--Werdertorgasse 15/16,Yes,Yes,No
1040 Wien--Rilkeplatz 8,Yes,Yes,Yes
1090 Wien--Rooseveltplatz 4-5,Yes,Yes,Yes
2340 Mödling--Babenbergergasse 1/1,Yes,Yes,No
3423 St. Andrä-Wördern--Josef Karnerplatz 1,Yes,Yes,No
"1010 Wien--An der Hülben 4, Top 7",Yes,Yes,No
1010 Wien--Bauernmarkt 2,Yes,Yes,Yes
2700 Wiener Neustadt--Herrengasse 25,Yes,Yes,Yes
1010 Wien--Weihburggasse 20/33,Yes,Yes,Yes
1010 Wien--Volksgartenstraße 3/2. OG,Yes,Yes,Yes
1040 Wien--Brucknerstraße 4/5,Yes,Yes,No
6020 Innsbruck--Fallmerayerstraße 8/DG,Yes,Yes,Yes
"1010 Wien--Doblhoffgasse 9, Top 14",Yes,Yes,Yes
1130 Wien--Altgasse 16,Yes,Yes,No
1070 Wien--Neustiftgasse 3/7,Yes,Yes,Yes
1010 Wien--Kärntner Ring 12,Yes,Yes,Yes
1020 Wien--Trabrennstraße 2B,Yes,Yes,Yes
4020 Linz--Hauptplatz 17,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
6830 Rankweil--Kreuzlinger Straße 14,Yes,Yes,Yes
1010 Wien--Wipplingerstraße 20/8-9,Yes,Yes,Yes
1060 Wien--Linke Wienzeile 4/2/6,Yes,Yes,Yes
1080 Wien--Lederergasse 16/3,Yes,Yes,No
1010 Wien--Stallburggasse 4/6,Yes,Yes,Yes
8130 Frohnleiten--Hauptplatz 2,Yes,Yes,No
6020 Innsbruck--Wilhelm-Greil-Straße 9,Yes,Yes,Yes
1010 Wien--Spiegelgasse 19,Yes,Yes,No
"1030 Wien--Ungargasse 59-61, Top 301",Yes,Yes,Yes
1010 Wien--Universitätsring 10,Yes,Yes,Yes
1010 Wien--Schubertring 6,Yes,Yes,Yes
1180 Wien--Wallrißstraße 72/1,Yes,Yes,No
4600 Wels--Edisonstraße 1/WDZ 8,Yes,Yes,Yes
1010 Wien--Schottengasse 1,Yes,Yes,Yes
